"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"o͘-sái","oo-sai2","oo-sái","oo-sai2","140"
"lí-lō͘","li2-loo7","lí-lōo","li2-loo7","141"
"khà-chhiú-ki-á","kha3-chhiu2-ki-a2","khà-tshiú-ki-á","kha3-tshiu2-ki-a2","142"
"Tò͘-tīn-te̍k-kong","Too3-tin7-tek8-kong","Tòo-tīn-ti̍k-kong","Too3-tin7-tik8-kong","143"
"mô͘-siū-cheng-pà","moo5-siu7-cheng-pa3","môo-siū-tsing-pà","moo5-siu7-tsing-pa3","144"
"tông-sèng-loân","tong5-seng3-loan5","tông-sìng-luân","tong5-sing3-luan5","145"
"ba̍k-chiah-mn̂g-giap-á","bak8-chiah-mng5-giap-a2","ba̍k-tsiah-mn̂g-giap-á","bak8-tsiah-mng5-giap-a2","146"
"kóng chi̍t-ê pì-koat","kong2 chit8-e5 pi3-koat","kóng tsi̍t-ê pì-kuat","kong2 tsit8-e5 pi3-kuat","147"
"lâu-ōe","lau5-oe7","lâu-uē","lau5-ue7","148"
"bīn-chheh","bin7-chheh","bīn-tsheh","bin7-tsheh","149"
"lah-sap-ōe","lah-sap-oe7","lah-sap-uē","lah-sap-ue7","150"
"hah Hân","hah Han5","hah Hân","hah Han5","151"
"hah Ji̍t","hah Jit8","hah Ji̍t","hah Jit8","152"
"khóng-bêng-teng","khong2-beng5-teng","khóng-bîng-ting","khong2-bing5-ting","153"
"súi-tang-tang","sui2-tang-tang","suí-tang-tang","sui2-tang-tang","154"
"a-bêng","a-beng5","a-bîng","a-bing5","155"
"kāng-sèng-loân","kang7-seng3-loan5","kāng-sìng-luân","kang7-sing3-luan5","156"
"phî-khá-chiù","phi5-kha2-chiu3","phî-khá-tsiù","phi5-kha2-tsiu3","157"
"lûn-pan-chheⁿ-jîn","lun5-pan-chhenn-jin5","lûn-pan-tshenn-jîn","lun5-pan-tshenn-jin5","158"
"lûn-pan-chhiⁿ-jîn","lun5-pan-chhinn-jin5","lûn-pan-tshinn-jîn","lun5-pan-tshinn-jin5","158"
"khiang-á","khiang-a2","khiang-á","khiang-a2","159"
"Ka-lo̍k-hok","Ka-lok8-hok","Ka-lo̍k-hok","Ka-lok8-hok","160"
"po̍k-kiat-bōng","pok8-kiat-bong7","po̍k-kiat-bōng","pok8-kiat-bong7","161"
"phín-hēng","phin2-heng7","phín-hīng","phin2-hing7","162"
"chìⁿ-khian-á","chinn3-khian-a2","tsìnn-khian-á","tsinn3-khian-a2","163"
"sio̍k-hoe-lêng-ki","siok8-hoe-leng5-ki","sio̍k-hue-lîng-ki","siok8-hue-ling5-ki","164"
"súi-ko͘-niû","sui2-koo-niu5","suí-koo-niû","sui2-koo-niu5","165"
"siù-châi siù-châi khiâ bé lōng-lōng-lâi","siu3-chai5 siu3-chai5 khia5 be2 long7-long7-lai5","siù-tsâi siù-tsâi khiâ bé lōng-lōng-lâi","siu3-tsai5 siu3-tsai5 khia5 be2 long7-long7-lai5","166"
"ke-cheng-á","ke-cheng-a2","ke-tsing-á","ke-tsing-a2","167"
